Rock_Type,Date,Rainfall,Slope_Angle,NDVI,Change_in_NDVI,Soil_Moisture,Blast_Vibration,Seismic_Vibration
Metamorphic,2023-08-31,10.57,45.38,0.44,0.041,25.4,0.134,0.048
Sedimentary,2023-05-22,21.02,68.95,0.24,0.018,18.79,0.073,0.04
Igneous,2020-11-26,19.55,21.03,0.22,0.049,20.45,0.112,0.04
Sedimentary,2021-03-01,9.41,29.09,0.63,0.03,20.97,0.206,0.038
Sedimentary,2021-12-04,48.95,30.7,0.29,-0.002,16.8,0.097,0.013
Metamorphic,2021-06-01,44.0,18.53,0.15,0.028,21.05,0.206,0.017
Metamorphic,2021-03-08,42.42,21.95,0.45,0.023,24.75,0.106,0.012
Sedimentary,2022-02-10,37.43,42.36,0.55,0.002,21.48,0.011,0.013
Metamorphic,2022-05-12,4.64,28.45,0.41,0.004,10.35,0.25,0.02
Sedimentary,2021-05-26,9.51,46.06,0.33,0.042,39.62,0.03,0.031
Metamorphic,2020-11-25,36.82,30.7,0.14,-0.032,10.55,0.169,0.01
Metamorphic,2023-02-07,33.12,41.59,0.23,0.02,35.88,0.034,0.024
Metamorphic,2021-11-13,6.18,59.04,0.21,-0.033,35.63,0.295,0.03
Metamorphic,2025-07-18,7.07,22.67,0.49,0.013,37.48,0.225,0.027
Igneous,2024-04-01,32.64,36.58,0.31,0.013,13.35,0.002,0.016
Metamorphic,2022-01-19,39.18,69.07,0.38,0.003,28.55,0.072,0.03
Metamorphic,2022-02-19,25.2,54.32,0.65,0.028,34.99,0.274,0.049
Igneous,2022-10-16,40.15,65.28,0.64,-0.049,31.38,0.07,0.043
Sedimentary,2021-04-13,37.2,29.86,0.25,-0.049,15.65,0.21,0.031
Metamorphic,2021-04-22,0.5,7.46,0.27,-0.022,38.96,0.207,0.035
Metamorphic,2025-07-26,22.74,40.04,0.15,0.039,17.26,0.0,0.006
Igneous,2024-02-02,47.74,45.37,0.13,-0.004,27.58,0.258,0.012
Metamorphic,2021-01-28,0.34,59.5,0.33,-0.028,25.82,0.046,0.018
Sedimentary,2023-11-11,16.49,35.85,0.24,-0.041,18.02,0.008,0.005
Igneous,2024-03-29,31.24,27.29,0.47,-0.011,30.26,0.294,0.038
Metamorphic,2024-11-23,26.04,49.25,0.65,0.001,18.3,0.156,0.037
Igneous,2025-08-05,26.81,32.86,0.37,-0.031,12.47,0.133,0.006
Igneous,2024-11-20,29.71,7.84,0.36,-0.021,15.18,0.011,0.025
Metamorphic,2021-12-17,1.8,13.33,0.14,0.003,11.21,0.064,0.006
Igneous,2022-01-27,36.64,14.26,0.28,-0.033,12.43,0.246,0.04
Igneous,2023-07-16,22.42,65.16,0.45,-0.043,36.4,0.254,0.032
Igneous,2025-07-24,10.02,23.01,0.57,0.037,24.67,0.161,0.018
Sedimentary,2023-04-06,27.04,29.87,0.49,-0.045,22.12,0.216,0.043
Sedimentary,2021-06-20,41.68,43.11,0.4,-0.043,16.57,0.011,0.04
Sedimentary,2022-07-12,43.74,60.97,0.34,0.048,17.08,0.068,0.024
Metamorphic,2024-11-28,0.21,7.9,0.68,0.023,25.98,0.279,0.02
Metamorphic,2025-04-25,41.43,68.44,0.22,0.006,20.02,0.099,0.023
Metamorphic,2024-05-23,24.09,41.44,0.64,0.007,15.32,0.056,0.044
Sedimentary,2022-06-11,45.89,24.67,0.3,-0.0,38.31,0.129,0.018
Igneous,2022-02-03,28.76,32.15,0.62,0.001,15.04,0.17,0.006
Igneous,2021-10-14,19.65,21.3,0.28,-0.041,16.81,0.143,0.018
Igneous,2023-05-21,30.83,25.38,0.59,-0.004,37.71,0.147,0.033
Igneous,2024-12-13,16.93,55.43,0.35,-0.027,18.15,0.192,0.036
Sedimentary,2023-03-05,17.69,67.56,0.38,-0.008,24.33,0.298,0.04
Sedimentary,2022-03-15,23.91,34.03,0.29,0.015,21.28,0.299,0.026
Igneous,2022-03-15,22.59,44.53,0.59,-0.001,10.98,0.11,0.027
Sedimentary,2023-01-22,20.25,37.86,0.31,0.041,22.11,0.108,0.027
Metamorphic,2022-12-27,23.97,63.68,0.5,-0.029,22.72,0.24,0.02
Sedimentary,2022-09-16,11.92,19.32,0.67,0.02,17.57,0.054,0.032
Igneous,2021-07-17,45.87,62.77,0.15,-0.033,35.17,0.259,0.045
Igneous,2022-12-30,43.53,59.74,0.48,0.004,34.31,0.04,0.009
Igneous,2021-10-13,29.4,41.51,0.41,-0.038,30.98,0.155,0.026
Igneous,2025-08-17,39.55,22.99,0.53,0.006,19.99,0.201,0.01
Metamorphic,2021-10-15,23.83,55.19,0.39,0.014,21.23,0.025,0.038
Metamorphic,2020-10-13,8.82,24.84,0.56,0.044,26.6,0.296,0.009
Sedimentary,2021-09-13,25.84,51.6,0.17,0.005,11.29,0.177,0.037
Igneous,2025-06-17,48.03,11.73,0.25,-0.024,15.68,0.166,0.04
Sedimentary,2024-12-11,24.84,63.24,0.27,-0.049,15.88,0.223,0.045
Sedimentary,2024-09-17,5.06,68.72,0.59,-0.027,26.17,0.006,0.003
Sedimentary,2021-02-23,41.01,67.16,0.44,-0.044,12.05,0.298,0.043
Sedimentary,2025-03-09,20.67,5.39,0.5,-0.039,27.07,0.157,0.034
Igneous,2020-12-10,24.63,9.77,0.66,0.006,10.59,0.133,0.042
Metamorphic,2020-11-04,45.33,43.05,0.34,0.032,35.59,0.005,0.003
Metamorphic,2023-01-31,5.11,57.55,0.68,-0.002,10.82,0.142,0.009
Sedimentary,2024-07-28,26.23,14.37,0.21,-0.022,10.73,0.159,0.0
Metamorphic,2024-06-20,5.56,26.09,0.5,0.033,25.9,0.199,0.049
Sedimentary,2022-12-04,48.48,55.66,0.7,0.014,32.81,0.295,0.037
Igneous,2022-08-23,24.63,68.89,0.13,-0.035,26.08,0.058,0.041
Metamorphic,2023-01-01,14.12,17.57,0.24,-0.045,33.86,0.239,0.001
Igneous,2023-02-14,10.34,67.26,0.34,0.044,30.5,0.269,0.047
Metamorphic,2024-07-16,10.91,60.86,0.44,0.023,31.82,0.142,0.029
Metamorphic,2025-03-26,4.22,66.64,0.49,0.006,22.53,0.069,0.012
Metamorphic,2024-11-15,5.74,17.18,0.5,-0.009,20.83,0.117,0.007
Metamorphic,2024-05-31,0.77,64.15,0.61,-0.042,26.74,0.049,0.042
Sedimentary,2024-09-03,38.1,24.07,0.33,0.029,27.93,0.236,0.016
Sedimentary,2025-08-17,48.4,63.47,0.24,-0.046,16.45,0.286,0.004
Metamorphic,2022-10-07,25.45,55.84,0.34,0.004,21.15,0.047,0.047
Sedimentary,2022-01-20,3.56,49.88,0.55,0.005,21.14,0.16,0.023
Metamorphic,2024-11-02,38.67,35.58,0.12,-0.011,14.62,0.177,0.001
Igneous,2025-09-14,40.72,38.52,0.44,-0.015,34.78,0.121,0.036
Metamorphic,2025-02-23,19.48,55.21,0.38,-0.024,25.82,0.061,0.027
Sedimentary,2024-12-12,0.17,68.07,0.42,0.033,10.02,0.157,0.0
Sedimentary,2023-10-28,27.28,57.2,0.63,0.029,29.06,0.271,0.027
Metamorphic,2021-03-31,28.04,44.9,0.3,0.027,27.17,0.26,0.019
Igneous,2024-04-06,8.29,9.14,0.53,-0.014,12.05,0.296,0.002
Metamorphic,2020-10-15,8.26,29.11,0.59,0.022,30.84,0.184,0.031
Metamorphic,2021-06-06,4.68,17.54,0.46,-0.044,14.94,0.114,0.014
Metamorphic,2021-11-15,32.55,5.52,0.35,-0.018,37.76,0.227,0.008
Igneous,2024-03-03,49.79,21.58,0.45,0.011,35.74,0.138,0.039
Igneous,2024-10-19,1.52,59.77,0.46,-0.02,27.81,0.064,0.031
Metamorphic,2020-10-04,26.69,36.65,0.38,-0.027,37.97,0.227,0.038
Metamorphic,2022-01-13,2.72,54.94,0.12,0.026,37.9,0.263,0.04
Igneous,2023-01-27,28.02,50.97,0.17,0.009,28.34,0.159,0.045
Sedimentary,2023-05-20,1.83,12.53,0.62,0.003,35.87,0.083,0.046
Metamorphic,2023-05-01,43.72,16.53,0.2,-0.05,11.21,0.257,0.022
Metamorphic,2023-01-09,16.78,25.58,0.15,0.013,26.38,0.196,0.02
Sedimentary,2021-04-16,7.85,40.86,0.44,0.007,11.88,0.265,0.029
Sedimentary,2022-07-21,31.66,44.77,0.44,-0.019,12.87,0.012,0.003
Sedimentary,2023-06-05,20.96,42.07,0.33,0.0,20.34,0.253,0.038
Metamorphic,2022-12-29,1.0,6.09,0.19,-0.006,12.27,0.193,0.029
Igneous,2021-04-15,49.64,58.82,0.12,0.044,20.65,0.095,0.045
Sedimentary,2021-03-20,15.44,24.45,0.49,0.042,29.45,0.263,0.036
Metamorphic,2021-09-14,35.46,16.18,0.59,-0.027,32.36,0.195,0.03
Igneous,2024-04-10,0.87,48.44,0.61,-0.045,23.44,0.142,0.023
Igneous,2021-10-27,43.07,69.33,0.67,0.047,28.45,0.276,0.041
Sedimentary,2023-03-17,26.36,28.58,0.36,0.003,39.51,0.203,0.048
Sedimentary,2021-11-13,3.51,34.25,0.37,0.021,30.42,0.096,0.049
Igneous,2021-06-13,15.89,40.71,0.47,-0.015,20.02,0.094,0.047
Igneous,2023-01-08,14.88,12.46,0.57,0.024,32.11,0.256,0.044
Sedimentary,2021-01-05,23.51,7.07,0.58,0.022,34.02,0.072,0.04
Igneous,2024-04-15,37.78,57.66,0.22,-0.004,38.11,0.168,0.037
Sedimentary,2025-05-01,49.25,12.71,0.62,0.028,39.5,0.082,0.007
Igneous,2022-04-22,3.75,64.63,0.2,-0.035,23.45,0.271,0.008
Sedimentary,2022-04-22,32.47,24.35,0.49,-0.001,19.07,0.145,0.028
Sedimentary,2024-04-06,24.55,40.14,0.3,0.037,19.68,0.109,0.029
Metamorphic,2022-12-03,15.2,5.87,0.47,-0.029,37.48,0.218,0.015
Metamorphic,2023-01-26,21.53,20.71,0.13,0.035,18.83,0.058,0.023
Metamorphic,2021-02-19,19.73,6.72,0.48,-0.018,36.76,0.167,0.017
Sedimentary,2023-10-02,11.22,64.35,0.13,0.001,38.09,0.237,0.023
Sedimentary,2024-10-16,29.49,36.41,0.6,0.027,36.97,0.201,0.021
Metamorphic,2025-02-24,12.83,46.29,0.41,0.05,33.05,0.035,0.001
Sedimentary,2023-10-02,45.03,5.84,0.42,-0.035,20.68,0.033,0.045
Metamorphic,2024-03-07,21.67,49.21,0.64,0.021,29.04,0.175,0.011
Sedimentary,2021-12-14,13.94,22.8,0.37,-0.025,32.03,0.071,0.035
Igneous,2025-07-26,30.09,36.99,0.37,0.036,17.37,0.256,0.048
Sedimentary,2023-08-10,8.09,67.29,0.2,-0.04,15.87,0.239,0.025
Igneous,2024-01-21,45.02,13.28,0.32,-0.029,17.33,0.131,0.04
Metamorphic,2023-03-31,18.76,57.74,0.35,0.034,15.48,0.066,0.045
Metamorphic,2021-12-04,38.08,35.96,0.45,0.039,17.46,0.095,0.003
Sedimentary,2024-08-17,4.64,17.16,0.57,0.026,22.82,0.11,0.006
Sedimentary,2021-10-25,23.83,26.04,0.39,0.036,14.22,0.259,0.013
Igneous,2025-02-24,9.59,25.2,0.26,-0.044,29.65,0.124,0.04
Metamorphic,2022-05-08,42.77,27.36,0.33,0.029,23.3,0.143,0.045
Metamorphic,2020-11-18,0.45,10.6,0.63,-0.036,18.59,0.144,0.036
Igneous,2025-07-17,33.82,55.8,0.21,0.014,12.52,0.085,0.015
Igneous,2025-08-14,0.04,15.32,0.41,-0.009,28.63,0.292,0.021
Metamorphic,2023-08-20,14.13,15.86,0.13,-0.041,35.72,0.253,0.015
Sedimentary,2022-11-06,37.85,15.02,0.63,0.048,30.78,0.077,0.04
Igneous,2024-10-25,33.77,59.34,0.52,-0.021,11.96,0.287,0.046
Sedimentary,2025-08-19,19.83,39.42,0.45,0.041,35.18,0.259,0.021
Sedimentary,2022-04-30,16.1,43.71,0.42,-0.038,27.17,0.083,0.02
Igneous,2024-03-20,27.98,37.49,0.64,0.036,17.49,0.13,0.013
Igneous,2025-03-19,22.18,8.27,0.5,-0.047,14.42,0.225,0.003
Metamorphic,2021-12-30,2.05,65.43,0.4,-0.026,10.06,0.265,0.032
Metamorphic,2025-03-20,38.18,5.43,0.53,-0.021,17.81,0.191,0.021
Igneous,2025-03-02,45.09,43.28,0.57,0.028,36.09,0.196,0.029
Metamorphic,2024-05-08,1.44,64.49,0.42,-0.03,39.93,0.172,0.012
Metamorphic,2023-01-26,19.04,40.62,0.63,-0.003,38.8,0.08,0.048
Metamorphic,2025-04-02,22.19,22.92,0.25,-0.044,17.54,0.138,0.037
Metamorphic,2024-01-26,37.44,13.52,0.11,-0.019,28.22,0.214,0.015
Igneous,2022-05-13,40.89,37.63,0.43,0.043,38.2,0.003,0.041
Metamorphic,2024-01-20,16.69,42.55,0.2,0.019,33.58,0.13,0.039
Metamorphic,2025-09-17,1.96,49.93,0.58,-0.049,17.76,0.226,0.022
Metamorphic,2022-01-09,25.56,57.01,0.65,0.044,17.69,0.17,0.01
Sedimentary,2023-06-12,30.39,50.85,0.22,0.023,28.09,0.155,0.001
Igneous,2025-06-01,14.33,36.8,0.37,-0.03,37.48,0.129,0.012
Igneous,2025-03-10,22.25,40.68,0.17,0.024,39.36,0.21,0.009
Igneous,2021-02-09,30.23,13.87,0.37,-0.042,25.62,0.058,0.0
Igneous,2025-02-27,39.28,42.09,0.65,-0.011,20.21,0.192,0.027
Igneous,2024-12-31,41.41,22.55,0.6,0.043,32.73,0.205,0.041
Sedimentary,2023-06-03,5.73,57.27,0.51,0.019,15.21,0.028,0.028
Metamorphic,2024-04-24,37.21,26.21,0.54,-0.034,20.53,0.183,0.034
Metamorphic,2024-10-29,10.63,66.38,0.61,-0.008,23.76,0.204,0.006
Sedimentary,2023-09-04,3.3,24.62,0.34,-0.007,15.64,0.116,0.009
Sedimentary,2025-08-25,16.57,47.46,0.37,-0.027,25.04,0.026,0.029
Igneous,2024-06-09,2.48,14.16,0.26,-0.031,19.91,0.091,0.003
Igneous,2021-05-10,30.88,36.0,0.37,-0.048,33.6,0.195,0.018
Metamorphic,2022-11-08,18.15,5.66,0.59,-0.003,32.82,0.171,0.009
Igneous,2021-11-01,32.75,42.57,0.39,-0.045,37.59,0.284,0.033
